sr_no;id_number; reference_number; sender_name; sender_address_line1;sender_address_line2;sender_address_line3; sender_contact; recipient_name; recipient_address_line1;recipient_address_line2;recipient_address_line3; recipient_contact;estimated_days; from_branch_id; to_branch_id; price;date_and_time;delivery_status;transporter;
50057;2001237; Aarav Jaggi; H.No. 09; Agrawal Street; Vasai-Virar 910227; +91 9404372394; Samar Sha; H.No. 18; Dewan Marg; Munger 670441; +91 6528182265;1;3;13;6094; 2022-07-02 00:17:35;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50058;2001238; Urvashi Kala;81; Shukla Nagar; Bidhannagar-011215; +91 8932576167; Isaiah Taneja;25; Mannan Chowk; Katihar 720599; +91 6965112153;2;104;2;827; 2022-07-01 14:13:54;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50059;2001239; Samesh Nair; H.No. 12; Gade Street; Adoni 968219; +91 6602048709; Logan Dara;22; Yadav Chowk; Imphal-807116; +91 7065468079;1;69;93;1283; 2022-07-01 03:28:54;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50060;2001240; Unnati Ratti; H.No. 251; Jayaraman Circle; Varanasi 051724; +91 7605118814; Sai Palla; 52/96; Saini Street; Nanded 256280; +91 6108669481;2;67;83;4020; 2022-06-30 21:15:26;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50061;2001241; Frederick Trivedi;16; Barman Marg; Bhagalpur-976780; +91 6564462363; Chameli Ramaswamy; H.No. 229; Krishna Path; Hindupur 932962; +91 9527728879;1;75;143;4598; 2022-06-30 17:43:24;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50062;2001242; Arjun Sekhon; 47/178; Lanka Nagar; Purnia 471815; +91 9502109896; Januja Baral; H.No. 408; Butala Marg; Anantapur 184833; +91 7572628788;1;109;99;2176; 2022-06-29 14:33:39;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50063;2001243; Jacob Ganesh; H.No. 825; Batra Path; Coimbatore 828434; +91 8515892267; Udarsh Varughese;9; Krishna Marg; Bhilai 416773; +91 6533858058;2;20;30;6229; 2022-06-29 05:21:31;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50064;2001244; Zilmil Cherian;163; Shere Path; Udaipur 979542; +91 8930750098; Tanmayi Dara; 53/311; Chander Marg; Tinsukia 673702; +91 7243114796;1;131;125;2060; 2022-06-28 21:23:09;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50065;2001245; Samaksh Natarajan; H.No. 01; Bobal Zila; Surat 687439; +91 7763934928; Nakul Bajwa;954; Wali Path; Karawal Nagar-245108; +91 7239352420;1;100;92;5626; 2022-06-28 13:50:14;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50066;2001246; Balvan Patla;10; Krishnan Path; Bardhaman 718994; +91 9999517825; Divya Hegde; 79/942; Naidu Street; Bongaigaon 343487; +91 6249886351;1;16;66;2022; 2022-06-28 11:41:08;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50067;2001247; Benjamin Sankar; 24/95; Chada Circle; Jaunpur 840288; +91 6871154394; Nicholas Hora; 31/86; Krishna Circle; Bidar 910388; +91 9403622241;2;87;21;6223; 2022-06-28 11:08:09;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50068;2001248; Charles Lata; H.No. 698; Mitra Road; Pudukkottai 036184; +91 9903863719; Siya Dhar; 92/385; Varkey Road; Bijapur-852741; +91 9477597432;2;30;125;4401; 2022-06-28 08:24:04;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50069;2001249; Ekavir Comar; 91/34; Wagle; Eluru 292022; +91 9529846607; Sanaya Brar; 00/93; Mukherjee Path; Patna-349648; +91 6481559541;1;2;8;2657; 2022-06-28 03:43:32;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50070;2001250; Jhalak Sinha; 50/69; Patla Road; Meerut-569749; +91 6648250823; Thomas Kalita; 11/33; Savant Marg; Karimnagar-578866; +91 8089461983;1;136;47;1045; 2022-06-28 03:08:51;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50071;2001251; Nathan Ramanathan; 78/839; Sehgal; Bardhaman 540695; +91 7573172801; Dhruv Palla;71; More; Bihar Sharif 566274; +91 7645190948;1;143;66;1537; 2022-06-27 19:59:19;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50072;2001252; Nilima Gulati; H.No. 781; Chaudhary Zila; Amritsar 258963; +91 8659289495; Dhruv Bail; 10/42; Goyal Street; Durgapur 958482; +91 8175050490;2;1;97;6656; 2022-06-27 06:36:18;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50073;2001253; Ekbal Raja; H.No. 223; Chakraborty Nagar; Nagaon 852822; +91 9491817717; Samesh Modi; 72/648; Kala Zila; Loni-110968; +91 9673357957;2;95;63;2393; 2022-06-27 04:32:01;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50074;2001254; Pratyush Munshi; H.No. 752; Gera Zila; Bareilly-941304; +91 9574654959; Upasna Wagle;72; Rattan Marg; Ajmer 901910; +91 6310995174;1;143;67;4100; 2022-06-26 21:31:07;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50075;2001255; Nilima Sheth; H.No. 838; Kuruvilla Marg; Haridwar 259037; +91 8606870367; Chanakya Mangat; 98/246; Tella; Phusro-069972; +91 9833166979;1;82;150;1036; 2022-06-26 10:23:39;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50076;2001256; Advik Verma; 18/03; Barman Road; Moradabad 315746; +91 7900629564; Yug Khalsa;786; Nanda Ganj; Imphal 757037; +91 8663767341;2;118;3;5090; 2022-06-26 06:24:28;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50077;2001257; Aadhya Shankar; H.No. 18; Kumer Chowk; Gopalpur-937472; +91 9437179439; Oviya Parmar;83; Gupta Path; Nagercoil-291732; +91 8676642253;1;14;45;1607; 2022-06-25 14:22:04;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50078;2001258; Aishani Ahluwalia; H.No. 856; Rajagopal Zila; Bhilwara-226589; +91 6270674725; Anmol Gour; H.No. 18; Dasgupta Nagar; Thrissur 988097; +91 9799400540;1;74;150;3979; 2022-06-24 22:38:35;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50079;2001259; Jackson Peri;289; Cherian Street; Phusro 524442; +91 9029479721; Harinakshi Mall;115; Sharma Ganj; Bilaspur-665023; +91 6333623070;1;133;10;5891; 2022-06-24 19:21:56;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50080;2001260; Ayush Barad;689; Tailor Ganj; Sagar 086113; +91 9589953081; Kabir Chahal; 11/83; Gupta Nagar; Tadipatri 235215; +91 8016017409;1;122;141;2118; 2022-06-24 16:06:49;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50081;2001261; Gagan Choudhury; 73/643; Wable Ganj; Bhavnagar 885989; +91 9202778485; Ishani Rao; H.No. 587; Pandey Nagar; Jorhat-055937; +91 6174343833;1;94;39;696; 2022-06-24 14:23:16;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50082;2001262; Advik Rattan; 24/705; Jha Circle; Mumbai 239793; +91 8466961952; Yamini Doctor; H.No. 829; Mangal Marg; Rewa-581195; +91 8591601452;2;18;33;2014; 2022-06-24 08:26:18;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50083;2001263; Oeshi Lall; H.No. 961; Basu Zila; Rampur 684039; +91 6905248313; Udant Edwin;978; Mammen Street; Bhatpara-206591; +91 9028922091;2;49;96;5660; 2022-06-24 07:12:35;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50084;2001264; Naveen Bose;65; Natarajan Chowk; Berhampur-036950; +91 9133949775; Radhika Dugal; H.No. 11; Vala Nagar; Aurangabad-931555; +91 8524129251;2;111;52;5720; 2022-06-23 22:30:57;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50085;2001265; Tamanna Sarna;54; Toor; Kakinada 608974; +91 7265227967; Hemang Parikh; H.No. 178; Thaker; Gurgaon-115690; +91 8812776459;1;144;110;5630; 2022-06-23 15:50:55;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50086;2001266; Aahana Garg; 47/19; Parmer; Mumbai 945532; +91 9865554347; Aadhya Choudhry;826; Mani Zila; Tiruchirappalli-976645; +91 9917333336;1;116;97;2378; 2022-06-23 06:09:41;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50087;2001267; Oviya Bora;40; Trivedi Zila; Ramagundam-445195; +91 7559386610; Abhiram Vala; H.No. 251; Dara Marg; Haridwar-058440; +91 6748678271;1;87;60;1880; 2022-06-22 18:41:57;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50088;2001268; Ayush Dugar; 97/550; Padmanabhan Zila; Bikaner-058083; +91 9952972416; Faris Dhaliwal; H.No. 44; Sagar Nagar; Panipat 136250; +91 9986589833;2;70;25;6207; 2022-06-22 15:03:11;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50089;2001269; Ekansh Vasa;340; Oommen Road; Rohtak 804074; +91 6160104503; Bhavya Uppal; H.No. 080; Minhas Nagar; Kadapa-585954; +91 9633246451;2;17;135;469; 2022-06-22 13:41:58;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50090;2001270; Yashodhara Sharma;972; Narasimhan Chowk; Kavali-477050; +91 9605481354; Baljiwan Chaudhuri;293; Sathe Zila; Dehradun 374291; +91 8684876096;2;56;27;2837; 2022-06-22 11:07:42;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50091;2001271; Michael Morar;70; Bajwa Zila; Dehradun-332790; +91 7625706733; Yatin Borde;697; Tandon Street; Jehanabad 946126; +91 9196610886;1;148;139;5829; 2022-06-21 23:17:59;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50092;2001272; Rachit Sankaran; H.No. 02; Borah Zila; Pondicherry-501504; +91 9331293782; Siya Saxena; 53/15; Hans Street; Raebareli 615966; +91 7563026856;2;129;20;2140; 2022-06-21 19:42:15;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50093;2001273; Raksha Krishna; 82/05; Chhabra Road; Jodhpur 273281; +91 8390298198; Ira Dhar; 49/05; Chanda Zila; Belgaum-947299; +91 6999468480;2;125;106;6913; 2022-06-21 15:42:22;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50094;2001274; Panini Rajagopalan;875; Dada Street; Udaipur-819728; +91 9865841696; Vedant Parikh; H.No. 189; Rout; Raiganj 640804; +91 7925460737;2;143;121;4643; 2022-06-21 01:48:27;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50095;2001275; Jasmit Narayan;361; Talwar Path; Deoghar 875347; +91 7841897142; Aarnav Sama;27; Batra Circle; Surat-888412; +91 7702837297;1;123;52;5115; 2022-06-20 19:39:53;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50096;2001276; Xavier Deep; 74/895; Palla Nagar; Hindupur 685622; +91 7184614359; Darpan Savant; H.No. 740; Suresh Zila; Mathura 002300; +91 6192555738;2;87;128;5247; 2022-06-20 14:19:12;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50097;2001277; Simon Mohanty; H.No. 177; Golla Path; Pondicherry-704439; +91 8146595407; Rajeshri Shenoy; H.No. 47; Varkey; Karnal 731753; +91 7831080596;2;2;81;1014; 2022-06-19 21:29:41;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50098;2001278; Brinda Chawla;97; Shetty Circle; Khora  864634; +91 6211364341; Isha Shanker; H.No. 594; Sabharwal Path; Medininagar-061494; +91 7122022905;1;21;66;2958; 2022-06-19 07:34:56;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50099;2001279; Sachi Shah;11; Bera Ganj; Mangalore-359359; +91 6471851097; Jagrati Pandit;764; Verma Marg; Aurangabad-067833; +91 9135531848;1;112;75;681; 2022-06-19 06:08:22;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50100;2001280; Pratyush Murthy;9; Bora Path; Proddatur 412069; +91 8774830582; Leena Upadhyay;82; Bail Road; Satna-287894; +91 8664457202;2;83;45;876; 2022-06-18 21:05:53;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50101;2001281; Sudiksha Murthy;20; Saraf Chowk; Bidhannagar-483983; +91 9744142334; Gabriel Kadakia; H.No. 87; Sachar Circle; Shahjahanpur-499378; +91 8272898102;1;66;23;5580; 2022-06-18 13:48:12;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50102;2001282; Idika Parekh; H.No. 672; Kohli Nagar; Kavali 814953; +91 6824097306; Bhavna Handa;573; Lall; Gorakhpur-700782; +91 7804100752;2;77;12;1214; 2022-06-17 10:42:14;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50103;2001283; Anthony Mander; 78/76; Golla Ganj; New Delhi-715572; +91 6946589495; Balvan De;96; Chatterjee Chowk; Giridih-370638; +91 7363839351;1;26;32;876; 2022-06-17 08:00:55;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50104;2001284; Zaitra Vasa;891; Dewan Road; Hazaribagh 373175; +91 7333593812; Udyati Chahal; 59/05; Swamy Ganj; Bathinda-845910; +91 9776870362;1;86;132;6590; 2022-06-16 17:43:59;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50105;2001285; Charles Manda;57; Mangal Path; Thiruvananthapuram 272527; +91 7069437085; Aditya Arya; 50/225; Choudhry Ganj; South Dumdum-513759; +91 9249744948;2;37;47;4758; 2022-06-16 15:46:25;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50106;2001286; Hredhaan Dewan; 74/81; Mitter Chowk; Vellore 812877; +91 8611284857; Odika Bath; H.No. 23; Baral Nagar; Loni-692302; +91 6176523298;1;17;81;6144; 2022-06-15 06:13:45;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50107;2001287; Andrew Dada; H.No. 523; Ravi Road; Proddatur-650973; +91 7455702173; Victor Menon; 21/43; Kaur Path; Korba 022035; +91 8341943278;2;75;114;3280; 2022-06-14 22:27:08;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50108;2001288; Veda Ganguly;70; Jaggi; Bathinda-662891; +91 8967184755; Wishi Mahajan;195; Ahuja Marg; Ratlam 646022; +91 6736410551;1;133;61;6703; 2022-06-14 17:03:28;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50109;2001289; Priya Choudhary; 66/433; Kapadia Road; Chittoor-140537; +91 8328142676; Eshana Taneja; H.No. 75; Deo; Kamarhati 886504; +91 9394003078;2;97;73;3591; 2022-06-14 15:13:39;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50110;2001290; Amol Chaudhuri; 25/026; De Nagar; Vadodara-370596; +91 7964623242; Jasmit Malhotra;12; Buch Road; Nandyal-444904; +91 8530233401;2;129;13;3715; 2022-06-14 11:19:53;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50111;2001291; Sanaya Dara; H.No. 415; Chhabra Road; Thoothukudi-497431; +91 8305882382; Abdul Saxena; H.No. 54; Chandra Marg; Aligarh-111359; +91 7686257782;2;11;64;3536; 2022-06-14 08:36:35;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50112;2001292; Yashica Issac; 97/866; Nadig Path; Panchkula-212353; +91 6683123517; Hemani Raghavan;339; Gera Circle; Miryalaguda-925999; +91 8629897054;2;104;72;3928; 2022-06-14 04:56:11;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50113;2001293; Logan Dara;182; Rajagopal Circle; Malegaon-065606; +91 9047674940; Saumya Kashyap;44; Kakar Circle; Ujjain 808433; +91 7771792570;1;88;101;2526; 2022-06-13 19:23:14;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50114;2001294; Abha Chandra;90; Gour; Tiruvottiyur 606758; +91 6812363538; Gaurika More;13; Krishnamurthy Zila; Giridih 574090; +91 6855887332;1;89;110;1003; 2022-06-13 19:21:30;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50115;2001295; Veda Panchal; H.No. 902; Luthra Road; Phagwara-285821; +91 8899025207; Chandran Prakash;50; Thaman Nagar; Proddatur 943830; +91 7971795417;2;24;75;3986; 2022-06-13 04:21:23;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50116;2001296; Anjali Khalsa; 51/723; Deep Street; Kolkata-430596; +91 6005768673; Veer Tara; H.No. 52; Pradhan Street; Kishanganj 340589; +91 7112670041;1;129;129;1413; 2022-06-13 03:38:05;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50117;2001297; Abdul Bajaj; 30/847; Magar Road; Hajipur 339206; +91 9904287805; Nitara Patla; H.No. 387; Varughese Path; Baranagar 363434; +91 6317795410;2;39;73;6280; 2022-06-12 18:12:00;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50118;2001298; Waida Sahota;19; Bhat Marg; Ghaziabad-527700; +91 8303872110; Anamika Bala; 01/82; Sagar Ganj; Gopalpur 315423; +91 9622148318;1;27;6;2007; 2022-06-12 08:03:49;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50119;2001299; Yatan Palla; H.No. 473; Biswas Chowk; Bareilly-368777; +91 9101315063; Siya Bawa;998; Krish Ganj; Jamnagar 582942; +91 9189145614;1;8;56;3752; 2022-06-11 19:31:48;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50120;2001300; Sanya Sani; H.No. 689; Kala Circle; Sonipat-983978; +91 6544261072; Henry Bassi; H.No. 30; Pathak Road; Faridabad-500513; +91 8925319052;2;115;102;1452; 2022-06-11 19:01:19;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50121;2001301; Akshay Sama;576; Thaman; Arrah 108894; +91 6694634739; Aahana Dhaliwal;511; Dass Zila; Bikaner-310762; +91 8559111290;2;10;80;4188; 2022-06-11 01:32:16;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50122;2001302; Adweta Dora; H.No. 833; De Chowk; Bhalswa Jahangir Pur 756158; +91 8642955432; Kamala Parsa; H.No. 192; Dasgupta Chowk; Kavali 632673; +91 6669139564;2;115;107;5243; 2022-06-10 09:35:28;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50123;2001303; Faras Ganguly; 55/991; Joshi Path; Mirzapur 971954; +91 7377816227; Daksh Parikh; H.No. 56; Sastry Path; Tiruvottiyur 457513; +91 9623391038;2;141;55;4772; 2022-06-10 07:47:55;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50124;2001304; Yasti Sabharwal; H.No. 62; Ramaswamy Path; Bhatpara-113558; +91 9623469395; Shravya Sunder;790; Ganesan Street; Bhimavaram-529608; +91 8466311308;1;59;78;6337; 2022-06-09 23:03:01;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50125;2001305; Anusha Balakrishnan; 49/21; Bakshi Ganj; Chennai-252892; +91 9101906622; Karan Pant; 04/69; Saraf Road; Tiruvottiyur 665144; +91 6143043912;2;67;40;6424; 2022-06-09 06:59:14;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50126;2001306; Gabriel Cheema;31; Yogi Path; Dindigul-266385; +91 8756026034; Radhika Mukhopadhyay;787; Parikh Path; Bijapur 600992; +91 7349701763;1;74;72;653; 2022-06-09 04:40:17;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50127;2001307; Manya Sidhu; 60/342; Bains Ganj; Aligarh 226330; +91 7971635293; Qadim Lal; H.No. 97; Handa Path; Allahabad-791717; +91 7554238516;1;51;70;2623; 2022-06-08 23:16:47;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50128;2001308; Mitesh Dyal;30; Ram Path; Danapur-876861; +91 9345382363; Yamini Chanda;107; Kala Path; Malda 268918; +91 7373517708;1;82;13;6967; 2022-06-08 15:54:41;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50129;2001309; Bhavani Grover; 07/493; De Zila; Jorhat 636957; +91 8723452613; Vedhika Bava; H.No. 477; Khalsa Ganj; Tiruchirappalli-265912; +91 6309160305;1;101;139;5199; 2022-06-08 07:06:58;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50130;2001310; Henry Dani; H.No. 495; Prabhakar Chowk; Tirupati 884656; +91 8728484082; Vedhika Sawhney; 77/19; Swamy Ganj; Sikar-234961; +91 6770549987;2;26;19;3540; 2022-06-07 17:50:25;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50131;2001311; Radhika Bumb;305; Saraf Ganj; Ghaziabad-032146; +91 8031813332; Hema Chaudhry; H.No. 982; Chaudhuri Marg; Adoni-585418; +91 8571889450;2;67;2;2941; 2022-06-07 17:27:23;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50132;2001312; Krishna Kari;18; Bava Ganj; Anantapur-390933; +91 7360924448; Anita Narayan; H.No. 05; Dyal Chowk; Kishanganj 572683; +91 9346411932;1;69;92;3815; 2022-06-07 08:49:49;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50133;2001313; Saanvi Wali; H.No. 650; Lalla Chowk; Bhubaneswar 265564; +91 8950562670; Ekaraj Palla; 98/841; Barad Zila; Rewa 894152; +91 6255224688;2;39;84;6058; 2022-06-07 01:00:30;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50134;2001314; Ridhi Lad; 72/57; Om Nagar; Dhanbad-569582; +91 8470781326; Balendra Varma; 75/63; Wali Zila; Secunderabad 136644; +91 7970420920;1;70;94;5516; 2022-06-06 22:56:43;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50135;2001315; Jasmit Dewan;708; Andra Zila; Panipat 514670; +91 8384565368; Wishi Sarkar; H.No. 74; Chakrabarti Chowk; Raichur-184647; +91 7901327673;1;32;82;1682; 2022-06-06 05:01:48;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50136;2001316; Ayush Vohra; H.No. 62; Wable Street; Hyderabad-094967; +91 8128614725; Upadhriti Hayre;41; Savant Street; Haldia-832009; +91 8550131336;1;139;48;1602; 2022-06-06 04:43:40;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50137;2001317; Yagnesh Loyal;575; Pillay Street; Mirzapur-411332; +91 7184505770; Garima Palla;5; Choudhary Street; Berhampur-564555; +91 9280940956;1;59;104;5489; 2022-06-06 01:25:42;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50138;2001318; Henry Kaul; H.No. 979; Karpe Circle; Navi Mumbai-417275; +91 9674227117; William Cheema;535; Gour Road; Sambalpur 109566; +91 6959216360;2;95;114;5362; 2022-06-05 22:06:22;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50139;2001319; Onveer Munshi;653; Kota Path; Bhopal-605021; +91 9522186370; Vivaan Apte;43; Viswanathan Nagar; Ramgarh 985405; +91 6268427030;1;102;67;780; 2022-06-05 13:54:54;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
